API_Num,Surf_Lat,Surf_Lon,Shale_Thk,Base_Shale,Log_Bot,Gross_H,Net_Sand,Total_Por,Water_Dep,Domain
1.77E+13,28.703114,-89.391015,,7112.75,9706,2593.25,352.5,0.281,394,3
1.77E+13,28.368218,-91.385106,,3986.49,6929,2942.51,399.7,0.341,199,9
6.08E+13,28.0231621,-88.139549,,13971.08,15728,1756.92,238,0.38,7927,11
6.08E+13,27.1885783,-90.2690221,,16621.55,21009,4387.45,593,0.257,4420,11
1.77E+13,28.267677,-92.787303,,4708.24,6804,2095.76,280.4,0.3,191,10
6.08E+13,28.1548606,-89.2354888,,10838.03,18123.21,7285.18,969,0.213,3013,2
4.27E+13,29.133386,-94.195792,,5113.87,12931,7817.13,1030.2,0.186,40,15
4.27E+13,27.294047,-96.700429,,6694.29,12973.95,6279.66,827.28,0.198,222,17
1.77E+13,28.145707,-92.967267,,4548.3,14882,10333.7,1356.8,0.367,235,10
1.77E+13,29.685846,-93.738215,,5563.27,11658,6094.73,799.2,0.309,25,15
6.08E+13,27.8833226,-90.9016743,,7794.11,10785.92,2991.81,391,0.239,1353,4
6.08E+13,27.8834786,-90.9016103,,7751.78,11777.28,4025.5,526,0.309,1353,4
6.08E+13,28.96172,-88.5200279,,5098.12,7777,2678.88,349,0.307,2266,2
1.77E+13,28.907457,-89.246144,,3871.76,6999,3127.24,407.1,0.347,190,3
6.08E+13,27.469096,-90.562755,,28195.28,30787,2591.72,336.6,0.197,3570,13
1.77E+13,28.330673,-92.783213,,5159.19,8332,3172.81,410.7,0.233,191,10
1.77E+13,29.768572,-88.7088,,2712.14,5032.49,2320.35,298.2,0.355,50,21
1.77E+13,28.429069,-92.87819,,4743.27,8513,3769.73,481.4,0.334,174,10
1.77E+13,28.998547,-89.702716,,5913.22,12015,6101.78,769.2,0.331,140,5
4.27E+13,27.0139124,-96.7897343,,6153.13,7321.55,1168.42,147,0.232,224,17
6.08E+13,26.289373,-91.0685256,,8445.84,28745,20299.16,2552,0.386,7036,11
1.77E+13,29.61202,-93.148301,,5913.03,15910.79,9997.76,1245.5,0.211,38,15
1.77E+13,27.943763,-92.87725,,5531.9,6321,789.1,97.1,0.373,445,9
1.77E+13,28.66967,-89.393442,,4251.71,15376,11124.29,1367.7,0.284,437,3
1.77E+13,29.176837,-89.613883,,7002.13,16859.15,9857.02,1203.3,0.202,35,5
1.77E+13,28.202017,-92.719613,,977.39,6645.03,5667.64,691,0.321,233,7
6.08E+13,27.792555,-92.032508,,20526.88,20914.66,387.78,47.1,0.283,1464,13
6.08E+13,27.303936,-93.538162,,10554.15,16708,6153.85,745.2,0.204,3152,13
1.77E+13,29.293928,-92.264419,,1801.52,4671.3,2869.78,345.4,0.365,21,15
6.08E+13,28.489503,-89.886632,,5882.98,13380,7497.02,901.4,0.268,1518,3
